Column1,n_comp,freq,threshold,sd,subj,task,order
1,9,High,7.125,1.00778222,x01,Control,2
2,9,Low,-3.375,4.61146669,x01,Control,2
3,9,Low,-2.75,2.27760839,x01,Control,2
4,9,High,1.0,4.14578099,x01,Control,2
5,9,High,13.0,0.0,x01,Control,2
6,9,Low,-3.625,1.125,x01,Control,2
7,9,High,13.0,0.0,x01,Control,2
8,9,Low,-9.0,1.5411035,x01,Control,2
9,9,Low,-10.75,0.75,x01,Control,2
10,9,High,5.0,0.8660254,x01,Control,2
11,9,High,-2.125,0.71807033,x01,Control,2
12,9,Low,-5.875,4.25918126,x01,Control,2
13,9,Low,4.125,0.80039053,x02,Control,1
14,9,High,13.0,0.0,x02,Control,1
15,9,High,13.0,0.0,x02,Control,1
16,9,Low,-7.625,0.91001374,x02,Control,1
17,9,Low,-5.5,0.61237244,x02,Control,1
18,9,High,8.25,2.01556444,x02,Control,1
19,9,High,13.0,0.0,x02,Control,1
20,9,Low,-4.375,0.375,x02,Control,1
21,9,High,3.20833333,5.31392955,x02,Control,1
22,9,Low,-6.625,1.28086885,x02,Control,1
23,9,Low,-3.875,3.83446541,x02,Control,1
24,9,High,-1.0,0.61237244,x02,Control,1
25,9,Low,-5.625,1.00778222,x07,Control,2
26,9,High,-2.625,1.70018381,x07,Control,2
27,9,Low,-8.375,0.5153882,x07,Control,2
28,9,High,3.875,1.60565407,x07,Control,2
29,9,Low,-6.25,0.96824584,x07,Control,2
30,9,High,9.625,0.375,x07,Control,2
31,9,Low,-8.875,0.71807033,x07,Control,2
32,9,High,-0.5,1.5411035,x07,Control,2
33,9,Low,-10.0,1.43614066,x07,Control,2
34,9,High,9.625,0.375,x07,Control,2
35,9,Low,-10.0,1.14564392,x07,Control,2
36,9,High,13.0,0.0,x07,Control,2
37,9,Low,-2.125,0.9437293,x09,Control,2
38,9,High,13.0,0.0,x09,Control,2
39,9,Low,-13.125,1.17924764,x09,Control,2
40,9,High,7.75,2.06155281,x09,Control,2
41,9,High,13.0,0.0,x09,Control,2
42,9,Low,-11.75,0.55901699,x09,Control,2
43,9,Low,-11.75,0.55901699,x09,Control,2
44,9,High,3.625,2.57694102,x09,Control,2
45,9,Low,-11.75,1.76776695,x09,Control,2
46,9,High,13.0,0.0,x09,Control,2
47,9,High,-1.625,2.7866871,x09,Control,2
48,9,Low,-12.5,1.87082869,x09,Control,2
49,9,High,1.125,1.32876823,x11,Control,2
50,9,Low,-2.5,3.24037035,x11,Control,2
51,9,Low,-3.75,3.0516389,x11,Control,2
52,9,High,13.0,0.0,x11,Control,2
53,9,Low,-7.625,2.00390244,x11,Control,2
54,9,High,0.875,0.9437293,x11,Control,2
55,9,High,13.0,0.0,x11,Control,2
56,9,Low,-12.25,1.36930639,x11,Control,2
57,9,Low,-10.125,2.00390244,x11,Control,2
58,9,High,0.75,1.71391365,x11,Control,2
59,9,Low,-8.0,0.93541435,x11,Control,2
60,9,High,-5.125,0.9437293,x11,Control,2
61,9,High,13.0,0.0,x14,Control,2
62,9,Low,5.0,1.67705098,x14,Control,2
63,9,High,6.58333333,4.47601633,x14,Control,2
64,9,Low,-2.5,0.96824584,x14,Control,2
65,9,Low,-0.25,0.61237244,x14,Control,2
66,9,High,-2.0,5.52268051,x14,Control,2
67,9,Low,-2.125,1.66301684,x14,Control,2
68,9,High,7.75,1.29903811,x14,Control,2
69,9,Low,-1.625,2.00390244,x14,Control,2
70,9,High,13.0,0.0,x14,Control,2
71,9,Low,-1.25,1.82002747,x14,Control,2
72,9,High,9.0,0.55901699,x14,Control,2
73,9,High,1.875,3.60771742,x15,Control,1
74,9,Low,1.25,5.04975247,x15,Control,1
75,9,Low,8.875,0.5153882,x15,Control,1
76,9,High,13.0,0.0,x15,Control,1
77,9,High,13.0,0.0,x15,Control,1
78,9,Low,7.0,0.8291562,x15,Control,1
79,9,Low,-3.125,2.05015243,x15,Control,1
80,9,High,13.0,0.0,x15,Control,1
81,9,Low,-3.625,2.47802845,x15,Control,1
82,9,High,13.0,0.0,x15,Control,1
83,9,High,13.0,0.0,x15,Control,1
84,9,Low,-7.375,1.125,x15,Control,1
85,9,Low,13.0,0.0,x16,Control,1
86,9,High,13.0,0.0,x16,Control,1
87,9,Low,6.375,0.6731456,x16,Control,1
88,9,High,1.125,3.39346799,x16,Control,1
89,9,High,13.0,0.0,x16,Control,1
90,9,Low,1.25,2.44948974,x16,Control,1
91,9,Low,0.25,0.55901699,x16,Control,1
92,9,High,13.0,0.0,x16,Control,1
93,9,High,13.0,0.0,x16,Control,1
